Company Name,ISIN,Industry,Total score (max. 16),1a,1b,1c,1d,JT1,2a,2b,2c,2d,JT2,3a,3b,3c,3d,JT3,4a,4b,4c,4d,JT4,5a,5b,5c,5d,JT5,6a,6b,6c,6d,JT6
Lukoil,RU0009024277,Oil and Gas,2,1,0,0,0,1,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahindra & Mahindra (Automotive),INE101A01026,Automotive,2,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0
Marathon Oil ,US5658491064,Oil and Gas,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0
Marathon Petroleum Corporation,US56585A1025,Oil and Gas,3.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,1.5,0,0,0.5,0.5,1,0,0,0.5,0,0.5,0.5,0,0,0,0.5
Mazda Motor Corporation,JP3868400007,Automotive,2,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0
Mitsubishi Motors Corporation,JP3899800001,Automotive,2.5,1,0,0,0,1,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0
MOL Magyar Olajes Gazipari Nyrt,HU0000153937,Oil and Gas,2.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,1.5,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0
Naftogaz,0,Oil and Gas,3,1,0,0,0,1,0,0,0,0,0,0.5,0,0.5,0.5,1.5,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0
National Iranian Oil Company (NIOC),0,Oil and Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Oil Corporation of Libya,CA92143B1004,Oil and Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naturgy Energy ,ES0116870314,Oil and Gas,3,1,0,0,0,1,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0
Neste,FI0009013296,Oil and Gas,2.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.5,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0
Nextera Energy,US65339F1012,Electric Utilities,3,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,1.5,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0.5,0.5
NGL Energy Partners,US62913M1071,Oil and Gas,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigerian National Petroleum Corporation (NNPC),0,Oil and Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nissan Motor Company,JP3672400003,Automotive,1.5,1,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NK KazMunayGaz,KZ1C00001122,Oil and Gas,1.5,1,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Novatek ,RU000A0DKVS5,Oil and Gas,2.5,1,0,0,0,1,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0
NTPC,INE733E01010,Electric Utilities,2.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0
Occidental Petroleum,US6745991058,Oil and Gas,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oil and Natural Gas Corporation (ONGC),INE213A01029,Oil and Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OMV,AT0000743059,Oil and Gas,3,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,1.5,0,0,0.5,0.5,1,0,0,0,0.5,0.5,0,0,0,0,0
Origin Energy,AU000000ORG5,Oil and Gas,2,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0
Origin Energy,AU000000ORG5,Electric Utilities,2,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0
Ørsted,DK0060094928,Electric Utilities,4.5,0,1,0,1,2,0,0,0,0,0,0.5,0,0.5,0.5,1.5,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0
Pacific Gas and Electric (PG&E),US69331C1080,Electric Utilities,5,0,0,0,0,0,0,1,1,0,2,0.5,0,0.5,0.5,1.5,0.5,0,0.5,0,1,0,0,0,0.5,0.5,0,0,0,0,0
PBF Energy,US69318G1067,Oil and Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pertamina,0,Oil and Gas,2.5,1,0,0,0,1,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0
Perusahaan Listrik Negara (PLN),0,Electric Utilities,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petroecuador,0,Oil and Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
